City,Avg Price $,Median Price $,Max Price $,Min Price $,Listings Count
Barbara,250000,250000,410000,90000,2
Basbina,225000,225000,250000,200000,3
Baskinta,188499,188499,200000,176999,2
Batroun,341590,174500,2000000,50000,44
Bchamoun,125000,110000,180000,90000,5
Bchelli,118499,118499,150000,86999,2
Beit Chabeb,630000,305000,2200000,105000,10
Beit Chlala,2000000,2000000,2000000,2000000,1
Beit El Kikko,484285,350000,1070000,260000,7
Beit Meri,414732,332499,1759999,98000,52
Beit Misk,800625,432500,2000000,390000,8
Beit el Chaar,340241,300000,950000,110000,29
Bejjeh,210000,210000,210000,210000,1
Bekaatat Achkout,204399,169999,449999,76999,5
Bentael,426000,159000,1000000,119000,3
